address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,zestimate,zRange,builtIn,builtBy,comName,parking
1302 S Orangewood Dr,Fresno,CA,93727,270250,1580.0,3.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/1302-S-Orangewood-Dr-Fresno-CA-93727/2091174087_zpid/,"$258,258","$243,000-$292,000",NA,NA,NA, 2 spaces
5386 E Orleans Ave,Fresno,CA,93727,165000,NA,NA,NA,15,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5386-E-Orleans-Ave-Fresno-CA-93727/95468990_zpid/,We,UnavailableLAST30,Amenities,NA,Accessibility,Vacant Land
5994 E Dayton Ave,Fresno,CA,93727,221000,NA,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/5994-E-Dayton-Ave-Fresno-CA-93727/18778326_zpid/,NA,NA,NA,NA,NA,NA
5341 E Liberty Ave,Fresno,CA,93727,310250,1989.0,4.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/5341-E-Liberty-Ave-Fresno-CA-93727/2091174086_zpid/,"$293,364","$267,000-$326,000",NA,NA,NA, 2 spaces
5778 E Alta Ave UNIT 103,Fresno,CA,93727,300000,3994.0,6.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5778-E-Alta-Ave-UNIT-103-Fresno-CA-93727/18768985_zpid/,"$374,721","$277,000-$393,000",1973,NA,Condo,4 spaces
5523 E Geary St,FRESNO,CA,93727,276000,2348.0,4.0,3.0,716,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/5523-E-Geary-St-Fresno-CA-93727/79534923_zpid/,"$307,874","$292,000-$323,000",2006,NA,Single Family,1 space
2369 S Playa Ave,Fresno,CA,93727,293000,2445.0,4.0,3.0,42,Auction,http://www.zillow.com/homes/for_sale//homedetails/2369-S-Playa-Ave-Fresno-CA-93727/89468709_zpid/,"$320,805","$305,000-$337,000",2007,NA,Single Family,2 spaces
6951 E Princeton Ave,Fresno,CA,93727,262000,2000.0,4.0,3.5,51,Auction,http://www.zillow.com/homes/for_sale//homedetails/6951-E-Princeton-Ave-Fresno-CA-93727/95472213_zpid/,NA,NA,2009,NA,Single Family,No Data
772 S Burgan Ave,Fresno,CA,93727,223000,1445.0,3.0,2.0,336,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/772-S-Burgan-Ave-Fresno-CA-93727/79525599_zpid/,"$242,191","$230,000-$254,000",2007,NA,Single Family,Attached Garage
4820 E Laurel Ave,Fresno,CA,93727,399995,6300.0,15.0,10.0,150,Make Me MoveÂ®,http://www.zillow.com/homes/for_sale//homedetails/4820-E-Laurel-Ave-Fresno-CA-93727/2108811591_zpid/,"$525,854","$379,000-$705,000",2014,NA,Multi Family,No Data
5730 E Lorena Ave,Fresno,CA,93727,269000,2191.0,4.0,2.0,372,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/5730-E-Lorena-Ave-Fresno-CA-93727/54660745_zpid/,"$298,047","$283,000-$313,000",2001,NA,Single Family,2 spaces
1208 S Clover Ave,Fresno,CA,93727,264990,2195.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091673492_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$253,432","$241,000-$286,000", 2018, Centex Homes, Ivywood, 2 spaces
1184 S Clover Ave,Fresno,CA,93727,282990,2195.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091539737_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$291,973","$272,000-$333,000", 2018, Centex Homes, Ivywood, 2 spaces
748 N Willow Ave,Fresno,CA,93727,239900,1693.0,4.0,2.0,48,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/748-N-Willow-Ave-Fresno-CA-93727/18753335_zpid/,"$224,460","$180,000-$236,000",1960,NA,Single Family,Attached Garage
1181 S Clover Ave,Fresno,CA,93727,264990,1923.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091673493_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$253,432","$241,000-$286,000", 2018, Centex Homes, Ivywood, 2 spaces
1170 S Arroyo Ave,Fresno,CA,93727,264990,2195.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093036852_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$253,432","$241,000-$286,000", 2018, Centex Homes, Ivywood, 2 spaces
5123 E Kerckhoff,FRESNO,CA,93727,246000,1897.0,5.0,2.5,1304,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/5123-E-Kerckhoff-Fresno-CA-93727/63103023_zpid/,"$273,082","$259,000-$287,000",2004,NA,Single Family,2 spaces
6367 E Huntington Ave,Fresno,CA,93727,234000,1700.0,4.0,2.0,1919,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/6367-E-Huntington-Ave-Fresno-CA-93727/63180092_zpid/,"$259,845","$247,000-$273,000",2005,NA,Single Family,3 spaces
1182 S Arroyo Ave,Fresno,CA,93727,298990,2195.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2092831860_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$301,151","$280,000-$367,000", 2018, Centex Homes, Ivywood, 2 spaces
1190 S Winery Ave APT 124,Fresno,CA,93727,49999,679.0,1.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1190-S-Winery-Ave-APT-124-Fresno-CA-93727/18767146_zpid/,"$56,919","$34,000-$65,000",1982,NA,Single Family,1 space
1205 S Clover Ave,Fresno,CA,93727,264990,1492.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091673495_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$253,432","$241,000-$286,000", 2018, Centex Homes, Ivywood, 2 spaces
5094 E Washington Ave,Fresno,CA,93727,209000,1816.0,3.0,2.0,416,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/5094-E-Washington-Ave-Fresno-CA-93727/18759151_zpid/,"$230,210","$219,000-$251,000",1953,NA,Single Family,Attached Garage
645 S Minnewawa Ave,Fresno,CA,93727,NA,NA,NA,NA,1810,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/645-S-Minnewawa-Ave-Fresno-CA-93727/64591478_zpid/,We,UnavailableLAST30,CONSTRUCTION,NA,Size,Other Construction Features
1169 S Clover Ave,Fresno,CA,93727,298990,1740.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091673497_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$301,151","$280,000-$367,000", 2018, Centex Homes, Ivywood, 2 spaces
1059 S Dee Ann Ave,Fresno,CA,93727,270990,1728.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094372477_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$266,900","$254,000-$299,000", 2018, Centex Homes, Ivywood, 2 spaces
3084 N Arroyo Ave,Fresno,CA,93727,299000,1872.0,4.0,3.0,134,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/3084-N-Arroyo-Ave-Fresno-CA-93727/89468379_zpid/,"$313,007","$297,000-$329,000",2008,NA,Single Family,3 spaces
811 S Mcarthur Ave # G3YHVR,Fresno,CA,93727,372900,2684.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093554986_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$427,392","$346,000-$479,000", 2018, Summit Homebuilders, Hamilton Estates, 2 spaces
5576 E Christine Ave,Fresno,CA,93727,320000,2008.0,4.0,3.0,129,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5576-E-Christine-Ave-Fresno-CA-93727/82855993_zpid/,"$303,688","$289,000-$319,000",2007,NA,Single Family,Attached Garage
6695 E Floradora Ave,Fresno,CA,93727,525000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/6695-E-Floradora-Ave-Fresno-CA-93727/18652890_zpid/,We,UnavailableLAST30,CONSTRUCTION,NA,Spaces,Dates
6906 E Christine Ave,Fresno,CA,93727,294990,1728.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094338986_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$297,759","$274,000-$328,000", 2018, Centex Homes, Ivywood, 2 spaces
6826 E Michigan Ave,Fresno,CA,93727,269000,1514.0,3.0,2.5,38,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6826-E-Michigan-Ave-Fresno-CA-93727/79537723_zpid/,"$281,085","$267,000-$295,000",2006,NA,Single Family,Attached Garage
5910 E Se Fillmore Ave,Fresno,CA,93727,320999,2407.0,4.0,3.5,57,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5910-E-Se-Fillmore-Ave-Fresno-CA-93727/2091564966_zpid/,NA,NA,NA,NA,NA,NA
5427 E Laurite Ave,Fresno,CA,93727,273598,1773.0,4.0,2.0,35,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5427-E-Laurite-Ave-Fresno-CA-93727/2091252451_zpid/,"$274,127","$255,000-$291,000",No Data,NA,Single Family,Attached Garage
6931 E Erin Ave,Fresno,CA,93727,270990,2063.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093490699_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA,NA,NA,NA
107 N Duke Ave,Fresno,CA,93727,267900,1833.0,3.0,3.0,42,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/107-N-Duke-Ave-Fresno-CA-93727/95524728_zpid/,NA,NA,NA,NA,NA,NA
2344 S Caesar Ave,Fresno,CA,93727,298000,2880.0,4.0,2.5,190,Auction,http://www.zillow.com/homes/for_sale//homedetails/2344-S-Caesar-Ave-Fresno-CA-93727/79541526_zpid/,"$331,313","$315,000-$348,000",2007,NA,Single Family,3 spaces
5181 E Olive Ave UNIT 109,Fresno,CA,93727,479000,7883.0,16.0,14.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/5181-E-Olive-Ave-UNIT-109-Fresno-CA-93727/18752809_zpid/,"$276,529","$133,000-$290,000",1979,NA,Multi Family,Carport
2359 S Rogers Ln,Fresno,CA,93727,255000,1486.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2359-S-Rogers-Ln-Fresno-CA-93727/95516594_zpid/,"$242,306","$230,000-$254,000",2010,NA,Single Family,2 spaces
6182 E Dayton Ave,Fresno,CA,93727,269900,1435.0,3.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/6182-E-Dayton-Ave-Fresno-CA-93727/89470054_zpid/,"$252,022","$239,000-$265,000",2007,NA,Single Family,2 spaces
6871 E Lorena Ave,Fresno,CA,93727,264990,1492.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093902918_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$253,432","$241,000-$286,000", 2018, Centex Homes, Ivywood, 2 spaces
828 S Laverne Ave,Fresno,CA,93727,348900,2454.0,4.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/828-S-Laverne-Ave-Fresno-CA-93727/2091982210_zpid/,"$315,413","$274,000-$331,000", 2018,NA,NA," Attached Garage, 3 spaces"
3508 N Purdue Ave,Fresno,CA,93727,265000,2354.0,6.0,2.0,50,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3508-N-Purdue-Ave-Fresno-CA-93727/18778252_zpid/,NA,NA,NA,NA,NA,NA
5457 E Illinois Ave,Fresno,CA,93727,140000,864.0,2.0,1.0,41,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/5457-E-Illinois-Ave-Fresno-CA-93727/18759538_zpid/,"$127,476","$101,000-$145,000",1950,NA,Single Family,10 spaces
1353 N Sandau Ave,Fresno,CA,93727,173000,1200.0,3.0,2.0,203,Auction,http://www.zillow.com/homes/for_sale//homedetails/1353-N-Sandau-Ave-Fresno-CA-93727/59370472_zpid/,"$202,839","$191,000-$213,000",2002,NA,Single Family,No Data
1787 S Homsy Ave,Fresno,CA,93727,399000,2273.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1787-S-Homsy-Ave-Fresno-CA-93727/18768076_zpid/,NA,NA,NA,NA,NA,NA
2463 S Evelyn Ave,Fresno,CA,93727,290375,1773.0,4.0,2.0,35,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2463-S-Evelyn-Ave-Fresno-CA-93727/2091258038_zpid/,"$269,049","$229,000-$283,000",No Data,NA,Single Family,Attached Garage
5908 E Hoxie Ave,Fresno,CA,93727,389000,3190.0,6.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5908-E-Hoxie-Ave-Fresno-CA-93727/72699471_zpid/,"$371,340","$353,000-$397,000",2006,NA,Single Family,2 spaces
4814 E Iowa Ave,Fresno,CA,93727,249998,2187.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4814-E-Iowa-Ave-Fresno-CA-93727/18759610_zpid/,"$258,170","$245,000-$271,000",1950,NA,Single Family,Detached Garage
1347 S Filbert Ave # 33HDSM,Fresno,CA,93727,255750,1580.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2092190066_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$258,258","$243,000-$292,000", 2018, Lennar, Daffodil Hill - California Series, 2 spaces
5752 E Christine Ave,Fresno,CA,93727,301000,2674.0,5.0,3.0,218,Auction,http://www.zillow.com/homes/for_sale//homedetails/5752-E-Christine-Ave-Fresno-CA-93727/60248608_zpid/,"$332,606","$316,000-$349,000",2003,NA,Single Family,No Data
5854 E Byrd Ave,Fresno,CA,93727,379000,2863.0,5.0,3.0,63,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/5854-E-Byrd-Ave-Fresno-CA-93727/79537277_zpid/,"$357,636","$340,000-$376,000",2006,NA,Single Family,2 spaces
811 S Mcarthur Ave # HDPES,Fresno,CA,93727,385900,2684.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093554985_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$427,392","$346,000-$479,000", 2018, Summit Homebuilders, Hamilton Estates, 3 spaces
6249 E Farrin Ave,Fresno,CA,93727,359500,2456.0,4.0,2.5,35,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6249-E-Farrin-Ave-Fresno-CA-93727/124736763_zpid/,"$335,797","$319,000-$353,000",2016,NA,Single Family,2 spaces
1729 S Waldby Ave,Fresno,CA,93727,350000,2542.0,4.0,2.5,45,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1729-S-Waldby-Ave-Fresno-CA-93727/18768040_zpid/,NA,NA,NA,NA,NA,NA
1524 N Temperance Ave,Fresno,CA,93727,725000,3200.0,4.0,4.0,62,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1524-N-Temperance-Ave-Fresno-CA-93727/18652495_zpid/,"$515,177","$402,000-$541,000",1975,NA,Single Family,Attached Garage
5893 E Grove Ave,Fresno,CA,93727,349000,2620.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5893-E-Grove-Ave-Fresno-CA-93727/79534856_zpid/,NA,NA,NA,NA,NA,NA
5235 E Hammond Ave,Fresno,CA,93727,224950,1553.0,2.0,1.75,41,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5235-E-Hammond-Ave-Fresno-CA-93727/18752927_zpid/,"$206,027","$124,000-$216,000",1994,NA,Single Family,Attached Garage
5298 E Orleans Ave,Fresno,CA,93727,330000,2762.0,3.0,1.5,112,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5298-E-Orleans-Ave-Fresno-CA-93727/18768035_zpid/,"$332,541","$316,000-$349,000",1978,NA,Single Family,2 spaces
5439 E Laurite Ave,Fresno,CA,93727,278669,1773.0,4.0,2.0,108,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5439-E-Laurite-Ave-Fresno-CA-93727/2092008971_zpid/,"$275,343","$259,000-$292,000",No Data,NA,Single Family,Attached Garage
5430 E Laurite Ave,Fresno,CA,93727,280133,1773.0,4.0,2.0,35,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5430-E-Laurite-Ave-Fresno-CA-93727/2091257703_zpid/,"$280,086","$258,000-$294,000",No Data,NA,Single Family,Attached Garage
1192 S Minnewawa Ave,Fresno,CA,93727,269000,1800.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1192-S-Minnewawa-Ave-Fresno-CA-93727/18766783_zpid/,"$272,802","$259,000-$295,000",1947,NA,Single Family,"Carport, Detached Garage"
1347 S Filbert Ave # ES09S,Fresno,CA,93727,277750,1838.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2092190068_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$278,862","$257,000-$307,000", 2018, Lennar, Daffodil Hill - California Series, 2 spaces
2286 S Minnewawa Ave LOT 6,Fresno,CA,93727,115000,NA,NA,NA,31,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2286-S-Minnewawa-Ave-LOT-6-Fresno-CA-93727/2091211816_zpid/,NA,NA,NA,NA,NA,NA
2587 N Millard Ave,Fresno,CA,93727,327500,1630.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2587-N-Millard-Ave-Fresno-CA-93727/2101196995_zpid/,"$291,647","$201,000-$306,000",2015,NA,Single Family,2 spaces
2691 N Mcarthur Ave # FZKTSV,Fresno,CA,93727,320950,2165.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094098285_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA,NA,NA,NA
2586 S Bundy Dr,Fresno,CA,93727,399000,3190.0,5.0,4.0,35,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2586-S-Bundy-Dr-Fresno-CA-93727/79533010_zpid/,"$427,079","$406,000-$448,000",2006,NA,Single Family,Attached Garage
2691 N Mcarthur Ave # UNZ43C,Fresno,CA,93727,295950,1623.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094098288_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$262,067","$233,000-$299,000", 2018, Granville Homes, Belterra, 2 spaces
1347 S Filbert Ave # 6Y704C,Fresno,CA,93727,287750,1989.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2092190069_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$293,364","$267,000-$326,000", 2018, Lennar, Daffodil Hill - California Series, 2 spaces
0 E Country Club Ln,Fresno,CA,93727,135000,NA,NA,NA,136,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-E-Country-Club-Ln-Fresno-CA-93727/2111849661_zpid/,We,UnavailableLAST30,Amenities,NA,Accessibility,Potential Use: Residential
5844 E Park Circle Dr,Fresno,CA,93727,125000,NA,NA,NA,91,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5844-E-Park-Circle-Dr-Fresno-CA-93727/18768624_zpid/,NA,NA,NA,NA,NA,NA
811 S Mcarthur Ave # WDST1Z,Fresno,CA,93727,346900,2254.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093554990_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$340,962","$300,000-$402,000", 2018, Summit Homebuilders, Hamilton Estates, 3 spaces
2691 N Mcarthur Ave # S1M1G3,Fresno,CA,93727,279950,1589.0,3.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094098287_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA,NA,NA,NA
0 E Church,Fresno,CA,93727,999000,NA,NA,NA,37,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-E-Church-Fresno-CA-93727/2091293050_zpid/,We,UnavailableLAST30,"Potential Use: Residential, Condo/PUD",NA,Type and Style,Lot: 4.42 acres
807 S Burgan Ave,Fresno,CA,93727,351900,2254.0,4.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/807-S-Burgan-Ave-Fresno-CA-93727/2095075463_zpid/,"$298,370","$269,000-$313,000", 2018,NA,NA," Attached Garage, 3 spaces"
804 S Laverne Ave,Fresno,CA,93727,329900,2069.0,3.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/804-S-Laverne-Ave-Fresno-CA-93727/2092598333_zpid/,"$287,772","$247,000-$302,000", 2017,NA,NA," Attached Garage, 2 spaces"
811 S Mcarthur Ave # GN4LIW,Fresno,CA,93727,384986,2307.0,3.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093554988_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$348,067","$313,000-$393,000", 2018, Summit Homebuilders, Hamilton Estates, 3 spaces
5171 E Grant Ave,Fresno,CA,93727,397900,2700.0,5.0,3.0,535,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5171-E-Grant-Ave-Fresno-CA-93727/18758884_zpid/,NA,NA,NA,NA,NA,NA
5465 E Tower Ave,Fresno,CA,93727,339000,2445.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5465-E-Tower-Ave-Fresno-CA-93727/89469246_zpid/,"$331,647","$315,000-$348,000",2008,NA,Single Family,No Data
6070 E Homan Ave,Fresno,CA,93727,369950,2165.0,4.0,3.0,128,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6070-E-Homan-Ave-Fresno-CA-93727/2092223173_zpid/,"$311,896","$284,000-$334,000",2017,NA,Single Family,Attached Garage
2553 N Whittier Ave,Fresno,CA,93727,345964,2165.0,4.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2553-N-Whittier-Ave-Fresno-CA-93727/2093149694_zpid/,"$334,463","$304,000-$358,000", 2017,NA,NA, 2 spaces
2691 N Mcarthur Ave # G314J9,Fresno,CA,93727,347950,2032.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094098281_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$306,195","$273,000-$377,000", 2018, Granville Homes, Belterra, 2 spaces
E Country Clb,Fresno,CA,93727,135000,NA,NA,NA,135,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/E-Country-Clb-Fresno-CA-93727/2092305377_zpid/,We,UnavailableLAST30,Other Construction Features,NA,Type and Style,MLS #: 491935
812 S Laverne Ave,Fresno,CA,93727,346250,2108.0,3.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/812-S-Laverne-Ave-Fresno-CA-93727/2092598143_zpid/,"$294,883","$257,000-$310,000", 2017,NA,NA," Attached Garage, 3 spaces"
2577 N Whittier Ave,Fresno,CA,93727,329968,2079.0,3.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2577-N-Whittier-Ave-Fresno-CA-93727/2093149695_zpid/,"$322,896","$297,000-$352,000", 2017,NA,NA, 2 spaces
